,Date,Close,Ret
182,2020-09-23,2333.24,0.03
183,2020-09-24,2272.7,-2.59
184,2020-09-25,2278.79,0.27
185,2020-09-28,2308.08,1.29
186,2020-09-29,2327.89,0.86
187,2020-10-05,2358.0,1.29
188,2020-10-06,2365.9,0.34
189,2020-10-07,2386.94,0.89
190,2020-10-08,2391.96,0.21
191,2020-10-12,2403.73,0.49
192,2020-10-13,2403.15,-0.02
193,2020-10-14,2380.48,-0.94
194,2020-10-15,2361.21,-0.81
195,2020-10-16,2341.53,-0.83
196,2020-10-19,2346.74,0.22
197,2020-10-20,2358.41,0.5
198,2020-10-21,2370.86,0.53
199,2020-10-22,2355.05,-0.67
200,2020-10-23,2360.81,0.24
201,2020-10-26,2343.91,-0.72
202,2020-10-27,2330.84,-0.56
203,2020-10-28,2345.26,0.62
204,2020-10-29,2326.67,-0.79
205,2020-10-30,2267.15,-2.56
206,2020-11-02,2300.16,1.46
207,2020-11-03,2343.31,1.88
208,2020-11-04,2357.32,0.6
209,2020-11-05,2413.79,2.4
210,2020-11-06,2416.5,0.11
211,2020-11-09,2447.2,1.27
212,2020-11-10,2452.83,0.23
213,2020-11-11,2485.87,1.35
214,2020-11-12,2475.62,-0.41
215,2020-11-13,2493.87,0.74
216,2020-11-16,2543.03,1.97
217,2020-11-17,2539.15,-0.15
218,2020-11-18,2545.64,0.26
219,2020-11-19,2547.42,0.07
220,2020-11-20,2553.5,0.24
221,2020-11-23,2602.59,1.92
222,2020-11-24,2617.76,0.58
223,2020-11-25,2601.54,-0.62
224,2020-11-26,2625.91,0.94
225,2020-11-27,2633.45,0.29
226,2020-11-30,2591.34,-1.6
227,2020-12-01,2634.25,1.66
228,2020-12-02,2675.9,1.58
229,2020-12-03,2696.22,0.76
230,2020-12-04,2731.45,1.31
231,2020-12-07,2745.44,0.51
232,2020-12-08,2700.93,-1.62
233,2020-12-09,2755.47,2.02
234,2020-12-10,2746.46,-0.33
235,2020-12-11,2770.06,0.86
236,2020-12-14,2762.2,-0.28
237,2020-12-15,2756.82,-0.19
238,2020-12-16,2771.79,0.54
239,2020-12-17,2770.43,-0.05
240,2020-12-18,2772.18,0.06
241,2020-12-21,2778.65,0.23
242,2020-12-22,2733.68,-1.62
243,2020-12-23,2759.82,0.96
244,2020-12-24,2806.86,1.7
245,2020-12-28,2808.6,0.06
246,2020-12-29,2820.51,0.42
247,2020-12-30,2873.47,1.88
